ryuseii,Clo04,Legendary Charged Cotton Pants of the Demon-fiend,https://hentaiverse.org/isekai/equip/315957/f2b50423cf,"Forb Prof 75%, Wis 79%"
Ming28561,Clo05,Legendary Zircon Cotton Shoes of the Heaven-sent,https://hentaiverse.org/isekai/equip/394721/32fd692982,"Wis 75%, Evd 85%"
Ming28566,Clo06,Legendary Onyx Cotton Gloves of the Heaven-sent,https://hentaiverse.org/isekai/equip/348863/7a3415512d,"Int 66%, Evd 74%"
youshi1,Clo07,Legendary Cobalt Phase Gloves of Heimdall,https://hentaiverse.org/isekai/equip/294885/c4c50a6fe2,"Int 92%, Pmit 76%"
ryuseii,Clo08,Magnificent Charged Phase Gloves of Surtr,https://hentaiverse.org/isekai/equip/393138/16a381e51c,"Wis 51%, Agi 88%"
ryuseii,Clo09,Magnificent Charged Phase Gloves of Niflheim,https://hentaiverse.org/isekai/equip/331786/1842d53b58,"Int 52%, Pmit 53%"
Treesion,Clo10,Magnificent Zircon Phase Gloves of Mjolnir,https://hentaiverse.org/isekai/equip/340621/3d937d3a23,"Agi 95%, Pmit 56%"
Treesion,Clo11,Magnificent Phase Shoes of Heimdall,https://hentaiverse.org/isekai/equip/316163/7ca3eaef60,"Int 56%, Agi 86%"
Ming28572,Clo12,Magnificent Radiant Phase Gloves of Heimdall,https://hentaiverse.org/isekai/equip/361173/5881f9a88c,MDB 80%
稗田阿一,Clo13,Magnificent Charged Phase Pants of Heimdall,https://hentaiverse.org/isekai/equip/334036/36629a0a3a,"Wis 95%, Evd 73%"
Treesion,Clo14,Magnificent Charged Cotton Robe of the Demon-fiend,https://hentaiverse.org/isekai/equip/349161/d206454a9b,"Wis 55%, Evd 69%"
Ming28564,Clo15,Magnificent Charged Cotton Robe of the Elementalist,https://hentaiverse.org/isekai/equip/309492/d838c2c1e5,"Cast Speed 65%, Pmit 71%"
Ming28565,Clo16,Magnificent Charged Cotton Shoes of the Elementalist,https://hentaiverse.org/isekai/equip/340138/261ae8bc15,"Elem Prof 51%, Pmit 84%"
Treesion,Clo17,Magnificent Ruby Cotton Shoes of the Elementalist,https://hentaiverse.org/isekai/equip/292605/458afe109d,"Int 59%, Wis 74%"
youshi1,Lig01,Legendary Savage Shade Leggings of the Fleet,https://hentaiverse.org/isekai/equip/214439/bd18b0b19d,"End 56%, Agi 69%"
chjj30,Lig02,Legendary Reinforced Leather Boots of Protection,https://hentaiverse.org/isekai/equip/302967/3b61836f65,"Evd 60%, Str 53%"
youshi1,Lig03,Legendary Agile Leather Helmet of Warding,https://hentaiverse.org/isekai/equip/315965/3c9e9bcc49,"Pier 68%, Burden 82%"
Ming28573,Lig04,Legendary Zircon Shade Leggings of the Arcanist,https://hentaiverse.org/isekai/equip/339882/04e8e7e933,"Pmit 97%, Mmit 67%"
youshi1,Lig05,Legendary Agile Shade Breastplate of the Fleet,https://hentaiverse.org/isekai/equip/320199/6553d1405b,"ADB 70%, Attack Speed 94%"
稗田阿一,Lig06,Legendary Ruby Shade Helmet of the Fleet,https://hentaiverse.org/isekai/equip/380094/79a5b70056,"ADB 55%, Pmit 74%"
Grandmasters,Lig07,Legendary Agile Leather Breastplate of Warding,https://hentaiverse.org/isekai/equip/363627/5f675178a1,"Pmit 80%, Dex 56%"
Grandmasters,Lig08,Legendary Jade Leather Boots of Stoneskin,https://hentaiverse.org/isekai/equip/86156/3969088cc1,"Mmit 52%, Dex 60%"
Grandmasters,Lig09,Legendary Amber Leather Helmet of Deflection,https://hentaiverse.org/isekai/equip/338787/a9cb1ec85b,"Pmit 52%, Evd 68%"
Grandmasters,Lig10,Legendary Zircon Leather Helmet of Deflection,https://hentaiverse.org/isekai/equip/358962/4345443d96,"Mmit 62%, End 75%"
Grandmasters,Lig11,Magnificent Onyx Leather Gauntlets of Deflection,https://hentaiverse.org/isekai/equip/311199/14590ceb57,"Pmit 78%, Mmit 65%"
ryuseii,Lig12,Magnificent Ruby Shade Gauntlets of the Shadowdancer,https://hentaiverse.org/isekai/equip/340002/c863e3c014,"ADB 83%, Mmit 65%"
稗田阿一,Lig13,Magnificent Shade Leggings of the Shadowdancer,https://hentaiverse.org/isekai/equip/362004/2b9f4f342a,"ADB 60%, Pmit 76%"
稗田阿一,Lig14,Magnificent Savage Shade Boots of the Shadowdancer,https://hentaiverse.org/isekai/equip/349594/c8fcdc1b8e,"ADB 77%, Evd 57%"
Grandmasters,Lig15,Magnificent Ruby Leather Helmet of Protection,https://hentaiverse.org/isekai/equip/370790/d59de185f8,"Pmit 76%, Res 84%"
Grandmasters,Lig16,Magnificent Jade Leather Boots of Dampening,https://hentaiverse.org/isekai/equip/370167/b2f32f5600,"Mmit 70%, Res 93%"
稗田阿一,Lig17,Magnificent Zircon Shade Helmet of the Fleet,https://hentaiverse.org/isekai/equip/371105/bb401e054a,"ADB 56%, Str 60%"
Grandmasters,Lig18,Magnificent Savage Shade Breastplate of Negation,https://hentaiverse.org/isekai/equip/12409/a5fe4ccbdc,"Mmit 54%, Evd 97%"
Grandmasters,Lig19,Magnificent Shade Breastplate of the Fleet,https://hentaiverse.org/isekai/equip/306623/3980faeade,"ADB 87%, Pmit 57%"
Bolide,Hea01,Legendary Cobalt Power Boots of Slaughter,https://hentaiverse.org/isekai/equip/370187/32bad90373,"ADB 90%, Str 63%"
youshi1,Hea02,Legendary Amber Plate Helmet of Protection,https://hentaiverse.org/isekai/equip/242539/3af3ac8800,"Dex 97%, Pmit 70%"
youshi1,Hea03,Legendary Ruby Plate Sabatons of Protection,https://hentaiverse.org/isekai/equip/325559/b01c5cd1b0,"Str 65%, End 74%"
youshi1,Hea04,Legendary Onyx Plate Helmet of Protection,https://hentaiverse.org/isekai/equip/322697/0d5f336beb,"Dex 73%, Mmit 52%"
Ming28574,Hea05,Legendary Amber Plate Gauntlets of Protection,https://hentaiverse.org/isekai/equip/153151/fbc0586614,"Dex 80%, Pmit 58%"
Ming28565,Hea06,Legendary Jade Plate Sabatons of Warding,https://hentaiverse.org/isekai/equip/310439/56c2402bc3,"Str 92%, Mmit 50%"
Treesion,Hea07,Legendary Cobalt Plate Cuirass of Warding,https://hentaiverse.org/isekai/equip/216993/86a916e3d3   ,"Dex 78%, End 67%"
Treesion,Hea08,Legendary Cobalt Plate Gauntlets of Warding,https://hentaiverse.org/isekai/equip/241835/6e25eee8e7   ,"Str 59%, Dex 75%"
Treesion,Hea09,Legendary Ruby Plate Greaves of Warding,https://hentaiverse.org/isekai/equip/109500/b487572a7c   ,"End 85%, Mmit 51%"
Treesion,Hea10,Legendary Ruby Plate Helmet of Warding,https://hentaiverse.org/isekai/equip/116726/a9535c3fd8,"Pmit 52%, Mmit 54%"
稗田阿一,Hea11,Legendary Ruby Plate Greaves of Warding,https://hentaiverse.org/isekai/equip/15506/cd48f0f6fc,Interf 54%
Ming28567,Hea12,Legendary Shielding Plate Greaves of Dampening,https://hentaiverse.org/isekai/equip/340607/a7937d4d00,"BLK 73%, Dex 94%"
Treesion,Hea13,Legendary Mithril Plate Sabatons of Stoneskin,https://hentaiverse.org/isekai/equip/247530/c35d1f4038   ,"Mmit 57%, Slas 73%"
ryuseii,Hea14,Magnificent Cobalt Power Armor of Slaughter,https://hentaiverse.org/isekai/equip/368144/11f22f1802,"ADB 83%, Str 56%"
ryuseii,Hea15,Magnificent Amber Power Gauntlets of Slaughter,https://hentaiverse.org/isekai/equip/259892/f2e19b04cc,"Str 58%, End 95%"
Ming28567,Hea16,Magnificent Cobalt Power Armor of Balance,https://hentaiverse.org/isekai/equip/361863/e8b2cb600e,"ADB 71%, Str 56%"
Ming28568,Hea17,Magnificent Onyx Power Helmet of Protection,https://hentaiverse.org/isekai/equip/339578/1aa393b717,"ADB 88%, Str 62%"
Ming28569,Hea18,Magnificent Jade Power Gauntlets of Protection,https://hentaiverse.org/isekai/equip/129779/c8fe1d870d,"End 62%, Slas 95%"
Ming28570,Hea19,Magnificent Power Gauntlets of Protection,https://hentaiverse.org/isekai/equip/148869/12c5be03d9,"Pmit 60%, Phy CD 82%"
Treesion,Hea20,Magnificent Savage Power Leggings of Warding,https://hentaiverse.org/isekai/equip/335799/3a171bafaf,"Dex 81%, End 68%"
Ming28561,Hea21,Magnificent Plate Cuirass of Protection,https://hentaiverse.org/isekai/equip/367812/f913b29f76,"Dex 85%, End 99%"
Ming28562,Hea22,Magnificent Shielding Plate Gauntlets of Protection,https://hentaiverse.org/isekai/equip/356682/e2ec325124,"End 92%, Mmit 99%"
Ming28563,Hea23,Magnificent Ruby Plate Greaves of Protection,https://hentaiverse.org/isekai/equip/259230/43e0f6d4e2,"Dex 84%, End 69%"
Ming28564,Hea24,Magnificent Onyx Plate Greaves of Protection,https://hentaiverse.org/isekai/equip/357181/ef52a3777c,"Str 67%, End 98%"
Treesion,Hea25,Magnificent Shielding Plate Greaves of Warding,  https://hentaiverse.org/isekai/equip/331953/db530ade6a   ,"End 51%, Pmit 61%"
